FILE,StructName,ModeID,GeomID,Coord1,Coord2,Coord3,Energy
data/W6_prism_mp2/nonrel/PBE0/TZ2P/gridspacing0.05/normal_modes_tracking/calculations/rho/mode1/geom_19_mode_1/start_data.vtu,W6_prism,1,19,189,150,159,-3.99017436
data/W6_prism_mp2/nonrel/PBE0/TZ2P/gridspacing0.05/normal_modes_tracking/calculations/rho/mode1/geom_1_mode_1/start_data.vtu,W6_prism,1,1,181,154,161,-3.98141504
data/W6_prism_mp2/nonrel/PBE0/TZ2P/gridspacing0.05/normal_modes_tracking/calculations/rho/mode1/geom_20_mode_1/start_data.vtu,W6_prism,1,20,190,150,158,-3.96770688
data/W6_prism_mp2/nonrel/PBE0/TZ2P/gridspacing0.05/normal_modes_tracking/calculations/rho/mode1/geom_2_mode_1/start_data.vtu,W6_prism,1,2,181,154,161,-4.00543738
data/W6_prism_mp2/nonrel/PBE0/TZ2P/gridspacing0.05/normal_modes_tracking/calculations/rho/mode1/geom_3_mode_1/start_data.vtu,W6_prism,1,3,182,154,160,-4.02735125
data/W6_prism_mp2/nonrel/PBE0/TZ2P/gridspacing0.05/normal_modes_tracking/calculations/rho/mode1/geom_4_mode_1/start_data.vtu,W6_prism,1,4,182,154,160,-4.04698131
data/W6_prism_mp2/nonrel/PBE0/TZ2P/gridspacing0.05/normal_modes_tracking/calculations/rho/mode1/geom_5_mode_1/start_data.vtu,W6_prism,1,5,183,153,160,-4.06413041
data/W6_prism_mp2/nonrel/PBE0/TZ2P/gridspacing0.05/normal_modes_tracking/calculations/rho/mode1/geom_6_mode_1/start_data.vtu,W6_prism,1,6,183,153,161,-4.07857800
data/W6_prism_mp2/nonrel/PBE0/TZ2P/gridspacing0.05/normal_modes_tracking/calculations/rho/mode1/geom_7_mode_1/start_data.vtu,W6_prism,1,7,183,153,160,-4.09010921
data/W6_prism_mp2/nonrel/PBE0/TZ2P/gridspacing0.05/normal_modes_tracking/calculations/rho/mode1/geom_8_mode_1/start_data.vtu,W6_prism,1,8,185,153,160,-4.09850685
data/W6_prism_mp2/nonrel/PBE0/TZ2P/gridspacing0.05/normal_modes_tracking/calculations/rho/mode1/geom_9_mode_1/start_data.vtu,W6_prism,1,9,185,153,160,-4.10361189
data/W6_prism_mp2/nonrel/PBE0/TZ2P/gridspacing0.05/normal_modes_tracking/calculations/rho/mode10/geom_0_mode_10/start_data.vtu,W6_prism,10,0,188,150,164,-4.06558447
data/W6_prism_mp2/nonrel/PBE0/TZ2P/gridspacing0.05/normal_modes_tracking/calculations/rho/mode10/geom_10_mode_10/start_data.vtu,W6_prism,10,10,185,153,159,-4.10532362
data/W6_prism_mp2/nonrel/PBE0/TZ2P/gridspacing0.05/normal_modes_tracking/calculations/rho/mode10/geom_11_mode_10/start_data.vtu,W6_prism,10,11,185,153,159,-4.10493552
data/W6_prism_mp2/nonrel/PBE0/TZ2P/gridspacing0.05/normal_modes_tracking/calculations/rho/mode10/geom_12_mode_10/start_data.vtu,W6_prism,10,12,185,153,159,-4.10378251
data/W6_prism_mp2/nonrel/PBE0/TZ2P/gridspacing0.05/normal_modes_tracking/calculations/rho/mode10/geom_13_mode_10/start_data.vtu,W6_prism,10,13,184,153,158,-4.10188000
data/W6_prism_mp2/nonrel/PBE0/TZ2P/gridspacing0.05/normal_modes_tracking/calculations/rho/mode10/geom_14_mode_10/start_data.vtu,W6_prism,10,14,184,154,158,-4.09924537
data/W6_prism_mp2/nonrel/PBE0/TZ2P/gridspacing0.05/normal_modes_tracking/calculations/rho/mode10/geom_15_mode_10/start_data.vtu,W6_prism,10,15,184,154,157,-4.09590023
data/W6_prism_mp2/nonrel/PBE0/TZ2P/gridspacing0.05/normal_modes_tracking/calculations/rho/mode10/geom_16_mode_10/start_data.vtu,W6_prism,10,16,183,154,156,-4.09186759
data/W6_prism_mp2/nonrel/PBE0/TZ2P/gridspacing0.05/normal_modes_tracking/calculations/rho/mode10/geom_17_mode_10/start_data.vtu,W6_prism,10,17,183,154,156,-4.08717318
data/W6_prism_mp2/nonrel/PBE0/TZ2P/gridspacing0.05/normal_modes_tracking/calculations/rho/mode10/geom_18_mode_10/start_data.vtu,W6_prism,10,18,182,154,156,-4.08185447
data/W6_prism_mp2/nonrel/PBE0/TZ2P/gridspacing0.05/normal_modes_tracking/calculations/rho/mode10/geom_19_mode_10/start_data.vtu,W6_prism,10,19,182,155,155,-4.07593792
data/W6_prism_mp2/nonrel/PBE0/TZ2P/gridspacing0.05/normal_modes_tracking/calculations/rho/mode10/geom_1_mode_10/start_data.vtu,W6_prism,10,1,187,151,164,-4.07317035
data/W6_prism_mp2/nonrel/PBE0/TZ2P/gridspacing0.05/normal_modes_tracking/calculations/rho/mode10/geom_20_mode_10/start_data.vtu,W6_prism,10,20,182,155,154,-4.06946800
data/W6_prism_mp2/nonrel/PBE0/TZ2P/gridspacing0.05/normal_modes_tracking/calculations/rho/mode10/geom_2_mode_10/start_data.vtu,W6_prism,10,2,187,151,164,-4.07995244
data/W6_prism_mp2/nonrel/PBE0/TZ2P/gridspacing0.05/normal_modes_tracking/calculations/rho/mode10/geom_3_mode_10/start_data.vtu,W6_prism,10,3,186,151,163,-4.08592634
data/W6_prism_mp2/nonrel/PBE0/TZ2P/gridspacing0.05/normal_modes_tracking/calculations/rho/mode10/geom_4_mode_10/start_data.vtu,W6_prism,10,4,186,151,163,-4.09109916
data/W6_prism_mp2/nonrel/PBE0/TZ2P/gridspacing0.05/normal_modes_tracking/calculations/rho/mode10/geom_5_mode_10/start_data.vtu,W6_prism,10,5,186,151,162,-4.09546639
data/W6_prism_mp2/nonrel/PBE0/TZ2P/gridspacing0.05/normal_modes_tracking/calculations/rho/mode10/geom_6_mode_10/start_data.vtu,W6_prism,10,6,186,152,161,-4.09903038
data/W6_prism_mp2/nonrel/PBE0/TZ2P/gridspacing0.05/normal_modes_tracking/calculations/rho/mode10/geom_7_mode_10/start_data.vtu,W6_prism,10,7,186,152,161,-4.10179431
data/W6_prism_mp2/nonrel/PBE0/TZ2P/gridspacing0.05/normal_modes_tracking/calculations/rho/mode10/geom_8_mode_10/start_data.vtu,W6_prism,10,8,185,152,161,-4.10376065
data/W6_prism_mp2/nonrel/PBE0/TZ2P/gridspacing0.05/normal_modes_tracking/calculations/rho/mode10/geom_9_mode_10/start_data.vtu,W6_prism,10,9,185,152,160,-4.10493459
data/W6_prism_mp2/nonrel/PBE0/TZ2P/gridspacing0.05/normal_modes_tracking/calculations/rho/mode11/geom_0_mode_11/start_data.vtu,W6_prism,11,0,186,151,153,-4.05440742
data/W6_prism_mp2/nonrel/PBE0/TZ2P/gridspacing0.05/normal_modes_tracking/calculations/rho/mode11/geom_10_mode_11/start_data.vtu,W6_prism,11,10,185,153,159,-4.10532362
data/W6_prism_mp2/nonrel/PBE0/TZ2P/gridspacing0.05/normal_modes_tracking/calculations/rho/mode11/geom_11_mode_11/start_data.vtu,W6_prism,11,11,185,153,161,-4.10491589
data/W6_prism_mp2/nonrel/PBE0/TZ2P/gridspacing0.05/normal_modes_tracking/calculations/rho/mode11/geom_12_mode_11/start_data.vtu,W6_prism,11,12,185,153,161,-4.10371484
data/W6_prism_mp2/nonrel/PBE0/TZ2P/gridspacing0.05/normal_modes_tracking/calculations/rho/mode11/geom_13_mode_11/start_data.vtu,W6_prism,11,13,185,153,161,-4.10175588
data/W6_prism_mp2/nonrel/PBE0/TZ2P/gridspacing0.05/normal_modes_tracking/calculations/rho/mode11/geom_14_mode_11/start_data.vtu,W6_prism,11,14,184,153,162,-4.09906617
data/W6_prism_mp2/nonrel/PBE0/TZ2P/gridspacing0.05/normal_modes_tracking/calculations/rho/mode11/geom_15_mode_11/start_data.vtu,W6_prism,11,15,184,154,163,-4.09567087
data/W6_prism_mp2/nonrel/PBE0/TZ2P/gridspacing0.05/normal_modes_tracking/calculations/rho/mode11/geom_16_mode_11/start_data.vtu,W6_prism,11,16,184,154,164,-4.09158456
data/W6_prism_mp2/nonrel/PBE0/TZ2P/gridspacing0.05/normal_modes_tracking/calculations/rho/mode11/geom_17_mode_11/start_data.vtu,W6_prism,11,17,184,154,164,-4.08682343
data/W6_prism_mp2/nonrel/PBE0/TZ2P/gridspacing0.05/normal_modes_tracking/calculations/rho/mode11/geom_18_mode_11/start_data.vtu,W6_prism,11,18,184,154,166,-4.08138770
data/W6_prism_mp2/nonrel/PBE0/TZ2P/gridspacing0.05/normal_modes_tracking/calculations/rho/mode11/geom_19_mode_11/start_data.vtu,W6_prism,11,19,184,154,166,-4.07527948
data/W6_prism_mp2/nonrel/PBE0/TZ2P/gridspacing0.05/normal_modes_tracking/calculations/rho/mode11/geom_1_mode_11/start_data.vtu,W6_prism,11,1,185,151,153,-4.06491043
data/W6_prism_mp2/nonrel/PBE0/TZ2P/gridspacing0.05/normal_modes_tracking/calculations/rho/mode11/geom_20_mode_11/start_data.vtu,W6_prism,11,20,183,155,167,-4.06848968
data/W6_prism_mp2/nonrel/PBE0/TZ2P/gridspacing0.05/normal_modes_tracking/calculations/rho/mode11/geom_2_mode_11/start_data.vtu,W6_prism,11,2,186,151,154,-4.07403138
data/W6_prism_mp2/nonrel/PBE0/TZ2P/gridspacing0.05/normal_modes_tracking/calculations/rho/mode11/geom_3_mode_11/start_data.vtu,W6_prism,11,3,186,151,155,-4.08184111
data/W6_prism_mp2/nonrel/PBE0/TZ2P/gridspacing0.05/normal_modes_tracking/calculations/rho/mode11/geom_4_mode_11/start_data.vtu,W6_prism,11,4,186,152,156,-4.08840565
data/W6_prism_mp2/nonrel/PBE0/TZ2P/gridspacing0.05/normal_modes_tracking/calculations/rho/mode11/geom_5_mode_11/start_data.vtu,W6_prism,11,5,186,152,156,-4.09380242
data/W6_prism_mp2/nonrel/PBE0/TZ2P/gridspacing0.05/normal_modes_tracking/calculations/rho/mode11/geom_6_mode_11/start_data.vtu,W6_prism,11,6,186,152,156,-4.09808947
data/W6_prism_mp2/nonrel/PBE0/TZ2P/gridspacing0.05/normal_modes_tracking/calculations/rho/mode11/geom_7_mode_11/start_data.vtu,W6_prism,11,7,185,152,158,-4.10132971
data/W6_prism_mp2/nonrel/PBE0/TZ2P/gridspacing0.05/normal_modes_tracking/calculations/rho/mode11/geom_8_mode_11/start_data.vtu,W6_prism,11,8,185,152,158,-4.10357884
data/W6_prism_mp2/nonrel/PBE0/TZ2P/gridspacing0.05/normal_modes_tracking/calculations/rho/mode11/geom_9_mode_11/start_data.vtu,W6_prism,11,9,185,152,159,-4.10489339
data/W6_prism_mp2/nonrel/PBE0/TZ2P/gridspacing0.05/normal_modes_tracking/calculations/rho/mode12/geom_0_mode_12/start_data.vtu,W6_prism,12,0,192,154,158,-3.99111947
data/W6_prism_mp2/nonrel/PBE0/TZ2P/gridspacing0.05/normal_modes_tracking/calculations/rho/mode12/geom_10_mode_12/start_data.vtu,W6_prism,12,10,185,153,159,-4.10532362
data/W6_prism_mp2/nonrel/PBE0/TZ2P/gridspacing0.05/normal_modes_tracking/calculations/rho/mode12/geom_11_mode_12/start_data.vtu,W6_prism,12,11,184,153,159,-4.10517853
data/W6_prism_mp2/nonrel/PBE0/TZ2P/gridspacing0.05/normal_modes_tracking/calculations/rho/mode12/geom_12_mode_12/start_data.vtu,W6_prism,12,12,183,152,159,-4.10435397
data/W6_prism_mp2/nonrel/PBE0/TZ2P/gridspacing0.05/normal_modes_tracking/calculations/rho/mode12/geom_13_mode_12/start_data.vtu,W6_prism,12,13,183,152,161,-4.10182377
data/W6_prism_mp2/nonrel/PBE0/TZ2P/gridspacing0.05/normal_modes_tracking/calculations/rho/mode12/geom_14_mode_12/start_data.vtu,W6_prism,12,14,182,152,161,-4.09645651
data/W6_prism_mp2/nonrel/PBE0/TZ2P/gridspacing0.05/normal_modes_tracking/calculations/rho/mode12/geom_15_mode_12/start_data.vtu,W6_prism,12,15,181,152,161,-4.08749483
data/W6_prism_mp2/nonrel/PBE0/TZ2P/gridspacing0.05/normal_modes_tracking/calculations/rho/mode12/geom_16_mode_12/start_data.vtu,W6_prism,12,16,180,152,161,-4.07477751
data/W6_prism_mp2/nonrel/PBE0/TZ2P/gridspacing0.05/normal_modes_tracking/calculations/rho/mode12/geom_17_mode_12/start_data.vtu,W6_prism,12,17,180,152,161,-4.05870466
data/W6_prism_mp2/nonrel/PBE0/TZ2P/gridspacing0.05/normal_modes_tracking/calculations/rho/mode12/geom_18_mode_12/start_data.vtu,W6_prism,12,18,179,152,161,-4.03993451
data/W6_prism_mp2/nonrel/PBE0/TZ2P/gridspacing0.05/normal_modes_tracking/calculations/rho/mode12/geom_19_mode_12/start_data.vtu,W6_prism,12,19,178,152,161,-4.01914270
data/W6_prism_mp2/nonrel/PBE0/TZ2P/gridspacing0.05/normal_modes_tracking/calculations/rho/mode12/geom_1_mode_12/start_data.vtu,W6_prism,12,1,192,154,158,-4.01385370
data/W6_prism_mp2/nonrel/PBE0/TZ2P/gridspacing0.05/normal_modes_tracking/calculations/rho/mode12/geom_20_mode_12/start_data.vtu,W6_prism,12,20,177,152,162,-3.99709293
data/W6_prism_mp2/nonrel/PBE0/TZ2P/gridspacing0.05/normal_modes_tracking/calculations/rho/mode12/geom_2_mode_12/start_data.vtu,W6_prism,12,2,190,153,158,-4.03540193
data/W6_prism_mp2/nonrel/PBE0/TZ2P/gridspacing0.05/normal_modes_tracking/calculations/rho/mode12/geom_3_mode_12/start_data.vtu,W6_prism,12,3,190,153,158,-4.05499113
data/W6_prism_mp2/nonrel/PBE0/TZ2P/gridspacing0.05/normal_modes_tracking/calculations/rho/mode12/geom_4_mode_12/start_data.vtu,W6_prism,12,4,190,153,158,-4.07190466
data/W6_prism_mp2/nonrel/PBE0/TZ2P/gridspacing0.05/normal_modes_tracking/calculations/rho/mode12/geom_5_mode_12/start_data.vtu,W6_prism,12,5,189,153,158,-4.08546416
data/W6_prism_mp2/nonrel/PBE0/TZ2P/gridspacing0.05/normal_modes_tracking/calculations/rho/mode12/geom_6_mode_12/start_data.vtu,W6_prism,12,6,188,153,159,-4.09520573
data/W6_prism_mp2/nonrel/PBE0/TZ2P/gridspacing0.05/normal_modes_tracking/calculations/rho/mode12/geom_7_mode_12/start_data.vtu,W6_prism,12,7,187,153,159,-4.10120471
data/W6_prism_mp2/nonrel/PBE0/TZ2P/gridspacing0.05/normal_modes_tracking/calculations/rho/mode12/geom_8_mode_12/start_data.vtu,W6_prism,12,8,187,153,159,-4.10414192
data/W6_prism_mp2/nonrel/PBE0/TZ2P/gridspacing0.05/normal_modes_tracking/calculations/rho/mode12/geom_9_mode_12/start_data.vtu,W6_prism,12,9,185,153,159,-4.10514962
data/W6_prism_mp2/nonrel/PBE0/TZ2P/gridspacing0.05/normal_modes_tracking/calculations/rho/mode13/geom_0_mode_13/start_data.vtu,W6_prism,13,0,189,153,170,-4.01078749
